id,true_error,text,meta.Binary,true_label,given_label
26,0,I'm always amazed at how many questions are similar to this. Are people itching to write code like this?,-1,10.0,7.0
27,0,"Maybe the ""junk"" servers a purpose to the application? What if you SETTEXT without the junk?",0,15.0,9.0
28,0,"Good question, worded poorly. Might want to try rephrasing it?",-1,9.0,18.0
29,0,no way! can you show us the entire loop?,1,16.0,10.0
30,0,"By literal value, do you mean the string? Or the ascii integer value?",0,13.0,21.0
31,0,"Generally, I'd anticipate a code bug. Can you paste in your FD_SET and your select calls please?",1,21.0,14.0
32,0,"Why is your code stored in a `.cpp` (C++) file, while the question is about C? So, what is it C++ or C?",-1,12.0,9.0
33,0,I added commentary. Does that explain what happens now?,-1,11.0,15.0
34,0,Explain what you mean by non-smaller? You mean bigger?,0,13.0,9.0
35,0,"Yes the second for loop has no braces as it contains a single statement within it.

Is the time complexity of the above O(n^1.5) ?",0,13.0,21.0
36,0,"Actually it's probably a structure. I bet you declared `struct mystruct { int something; }` and then tried `struct mystruct myobj` followed by a `myobj->something` when you meant `myobj.something`, right?",0,13.0,19.0
37,1,"@g0d1anier: I'm just curious, is there a reason you want to use multithreading for this? It seems to me that your program will be completely I/O bound so you're adding a lot of complexity for little benefit?",0,9.0,21.0
38,0,"I haven't ever experience `GetClientRect` returning anything but the full client rectangle, no matter what overlaps it or if it is fully on-screen.  Are you sure?",1,16.0,21.0
39,0,"Are you trying to write a standalone program to invert matrices or write a `transpose` function as part of a bigger program?  If it's a standalone program, how is your program supposed to get its input and output?",0,13.0,18.0
40,0,Are you saying this doesn't compile elsewhere? Ie this is xcode specific?,0,13.0,16.0
41,0,"Can someone include `getpid()` in the picture?
`getpid()` in child returns 0?",0,15.0,17.0
42,0,do you mean assembly code?  and you want a self modifying application?,1,18.0,13.0
43,0,How do you compare strings? strcmp()?,0,13.0,21.0
44,0,Is the asterisk really an asterisk in the source code? Or just a wildcard?,0,16.0,21.0
45,0,"""remove all 0's and 1's"". So if your int is 2107900000 you want to get 279?",-1,13.0,13.0
46,0,"Can you compile for 64 bits? If not, can you tell the compiler that your EXE supports up to 4GB?",0,13.0,19.0
47,0,@Praetorian: You had me into tears. I agree to you but is that going to help me with my question?,-1,6.0,13.0
48,0,Wow! Trivial answer converted to comment! Is this new?,-1,5.0,14.0
49,0,I don't understand what's wrong with the standard C pre-processor. Can you clarify?,1,17.0,24.0
50,0,"yea, that code was crufty.. see the latest edit. it is still crashing when accessing the new array..perhaps the \0 characters are getting lost in the shuffle?",0,15.0,7.0
51,0,what type is curr_time2? What data type does get_time_in_seconds() return?,0,13.0,21.0
52,0,why not `fprintf`? is this a homework?,-1,12.0,9.0
53,0,"i can input number, number1. skips to letter2 why?",-1,13.0,7.0
54,0,You don't have any call to `fork()` in your sample program. Is this intentional?,-1,13.0,5.0
55,0,Pipes are IPC tools. Where's your other process?,0,13.0,21.0
56,0,I think he is talking about the variable length arrays that were added to C in the C99 revision of the language. Is that correct aaa?,1,16.0,25.0
57,0,how much have you studied yet? Do you want specific questions?,-1,12.0,6.0
58,0,two programs (processes) and two threads are completely different sets of beasts. which do you mean?,0,13.0,17.0
59,0,Can we see the function that creates the output? And the output itself?,1,17.0,15.0
60,0,"When the breakpoint 'activates' is the `struct frame` in scope? Do you have more variables named `Frame`, possibly static to another translation unit or local to some function ... ?",0,15.0,9.0
61,1,"Doing a redundant `atoi` after you just did `strtol` is probably the most twisted insult to the proper use of string-to-int conversion functions in C one can come up with. Why do you see the need to ""re-convert"" the value using the broken function `atoi` when you already have it as `val` from a proper function `strtol`?",-1,8.0,19.0
62,0,@Francesco: Why are you so against sharing the errors that you are seeing. Why don't you get that they are helpful?,-1,5.0,11.0
63,0,"Let's talk about the error in a little bit more detail, Sergey. What is the output you get and what is the output you expect?",1,15.0,13.0
64,0,Are you running in user mode or kernel mode?  Direct manipulation of the IDT is definitely not supported under Windows - what are you trying to do?,0,13.0,9.0
65,1,"I don't see any inherent problem with what you have done above, and it looks like no one else sees anything, either; can you post more code?   How certain are you that the setfault happens at that particular waitall?",1,15.0,25.0
66,0,Why doesn't it compile?  What errors are you getting?,0,13.0,16.0
67,0,"Other than a missing declaration of 'ss', the code you've provided will get the address of a member of a structure. Can you provide more detail on what isn't working for you?",1,18.0,21.0
68,0,"Is this homework?  If so, could you please tag it as such?",0,15.0,7.0
69,0,"In addition to reformatting, can you try to provide some more info? Where are you stuck, what's going wrong?",1,15.0,17.0
70,0,"Seems like a roundabout way to get an address structure to me. Why not just pass ""2a00:1450:8006::68"" to `getaddrinfo`?",-1,11.0,20.0
71,0,"@Thanatos: Interesting, however that statement implies that there are no multibyte string encodings that have embedded null bytes? Is that correct?",1,18.0,13.0
72,1,"Sorry, the question was not 'Is this correct, or what is correct?' it was 'Why does this work?'",0,15.0,1.0
73,0,Which call to Print fails?  The first call?,0,15.0,11.0
74,0,More likely than not it has to do with the way visual studio optimizes the loops. Can you post the generated assembly?,0,13.0,19.0
75,0,Why would they be apart *without* optimization? I would imagine that the optimization is that space is allocated for both in advance?,0,14.0,21.0
76,0,"When you say ""`buf` is a string"", do you mean it's already a `char*`? And you're casting its address to type `const char*`?",0,13.0,21.0
77,0,"I'm still confused, unfortunately. Specifically, what could I do if I wanted to read the third line, for example?",0,13.0,20.0
78,0,@aroth: Ouch. Don't you ever need to view side-by-side diffs?,0,13.0,9.0
79,0,I see. Was it talking about that one specifically? :),1,20.0,25.0
80,0,"By ""implementing square"", do you mean implementing a function such that `f(x) = x^2`, or `f(x) = x`? Also, what is the precise list of operators you are not allowed to use?",1,15.0,17.0
81,0,Is there a particular reason you need it in binary format? Could you not use simple text output?,0,14.0,21.0
82,0,"If the struct is redefined, then everything that uses it's definition needs to be recompiled.  Is there a rebuild of all modues that know about the struct?",0,13.0,15.0
83,0,The title says 8088 and the tags say 8086. Which one do you need?,0,13.0,21.0
84,0,"I've clarified the question, thanks ax. @runrunraygun: What is a community wiki?",1,20.0,25.0
85,0,Paws__List is intended to be a _copy_ of List? not a reference or some sort of alias?,0,13.0,21.0
86,0,What about a function like safe_free(void* ptr) { free(ptr); ptr = NULL; } or something like that?  Or what about some kind of struct wrapper and functions to manipulate it?,0,13.0,17.0
87,0,"The first (slightly stupid ;) ) question that comes to my mind is, do you really need to run as root? Or just need root access to some other stuff that you could sudo to, or use setuid rights to?",0,12.0,21.0
88,0,I know little about compilers. Isn't cygwin just a compiler?,0,13.0,17.0
89,0,Why? 99% of the time you can convert well written C code to C++ code by just changing the compiler setting. Why not start using C++ code?,-1,9.0,13.0
90,0,Your code will result in 0.5. So what's your problem?,-1,9.0,17.0
91,0,"What exactly have you tested? You tested for the value you expect, I understand?",0,13.0,18.0
92,0,Implicit `int`? Two returns in one method?,0,15.0,21.0
93,0,"It may be redundant in source, but is it redundant in binary? Is it a good practice to always check code like this because although all statements depend on the ones before them (in program flow), the program flow may change from any number of sources?",1,15.0,21.0
94,0,What is `a`? Is there a value or just 0?,0,15.0,11.0
95,0,do you include libfoo.h in libfoo.cpp? If you do an `nm` on the libfoo.a do you have the c++ name for the foobar() function?,0,13.0,15.0
96,0,"This looks right, and works for me. What do you see?",1,16.0,11.0
97,0,Why not K&R? Was this just an excuse to bad-mouth some books you didn't like?,-1,9.0,17.0
98,0,What do you mean by 'access'?  Do you want to just read or also be able to write to the cell?,0,15.0,17.0
99,0,"It's a snippet, but mostly of where the action is. Suggestion to fix?",0,15.0,9.0
100,0,Please clarify. You need to pass a data scructure from C to Lua?,0,14.0,17.0
101,0,What is the problem here? Are you getting some unexpected results?,0,13.0,17.0
102,0,"it might depend on the actual definition of BYTE.
Maybe `TRUE` and `FALSE` are already defined, so your `#ifdef`-ed code is actually never executed?",0,15.0,19.0
103,0,"sorry, wasn't really thinking about a definitive question. could we just say that my question is: is my interpretation valid or does it contain some problems?",1,17.0,21.0
104,0,"What do you mean by ""character""? The drive letter?",-1,13.0,8.0
105,0,"@Nobody: How much slower is that, these days? Do you have any data?",0,13.0,10.0
106,0,Then you obviously have problem with your fwrite call. Could you provide the code you use?,1,17.0,13.0
107,0,"Sooo, what's the problem? Do you get an error when trying to compile the code?",-1,11.0,5.0
108,0,"@sarnold It shows 
Number of input = 22936722 49.Can anyone rationalise this strangeness?",1,17.0,13.0
109,0,Are you working with the Windows command prompt? Or what environment are you trying to display the output in?,0,13.0,21.0
110,0,How are `g_rx_buffer` and `BYTE` defined?  What compiler are you using?,1,17.0,21.0
111,0,-1: Have you tried stepping through your code in a debugger on a small dataset?  What did you discover?,0,16.0,13.0
112,0,It looks like you're not null terminating your `argv` array.  Or is that just left out of your example?,0,13.0,9.0
113,0,Why this particular number anyway? Is that the one related to some recent bug?,-1,13.0,21.0
114,0,What OS? Can you establish a link local IP address?,0,13.0,9.0
115,1,"@Jeff OK, OK. This is how wiki works though huh?",-1,9.0,19.0
116,0,"Show more declarations, what is the type of the curr_time2 variable? How is the get_time_in_seconds() function declared?",-1,13.0,9.0
117,0,"Thanks, will check that out. Is there a advantage/disadvantage using setjmp/longjmp over signals as proposed below?",1,17.0,21.0
118,0,How are you doing your shared memory? With shm_open and mmap?,1,17.0,21.0
119,0,"Why do you have to use goto for this? And if you want to ensure that both are initialised, isn't it easy enough to move both declarations to the top of the function?",0,16.0,10.0
120,0,Who gives you such error? Did you compile your source using `proc` ?,-1,13.0,10.0
121,1,"I don't think there's any ""optimal"" way to do it other than just scanning the string looking for the delimiters.  Perhaps _you_ could code that yourself?",-1,15.0,1.0
122,0,"@tomkaith, are you getting an error-code number from the call? Or just the numberless error msg?",0,13.0,13.0
123,0,"@Haoest: It seems some friendly individual already edited the title to remove the ""gay image"". Have you tried a different threshold?",0,16.0,9.0
124,0,"What plataform are you working on?
Which packet capture libraries are you using?",0,13.0,21.0
125,0,"@kelton52, then the problem is at compile time rather than run time. There should still be behaviour, error messages from the compiler perhaps?",1,17.0,12.0
126,0,How does an object type change dynamically?  Do you have a vehicle base blass and two derived classes: car and bike?,1,14.0,22.0
127,0,"@ David Thornley: Become a professional-grade programmer, also want participate in coding contest(Codechef, Topcoders),both have equal priorities

What you suggest what kind of preparation i need to take ?",1,19.0,13.0
128,0,A gaussian is unbounded. Am I missing something?,0,13.0,20.0
129,0,I see no question here. What is your question?,-1,9.0,5.0
130,0,"Nope, no sense. What's a conceptual break in this context?",-1,12.0,4.0
131,0,I don't understand what you mean by groups. Are you asking for groups or points?,0,17.0,10.0
132,0,What sort of non-Oracle database ? Is it running on the same machine or over a network ?,1,17.0,13.0
133,0,"""doing math on the file as if it were one long number"" sounds like a bad idea!  What method is this?",-1,11.0,17.0
134,1,*lol* the war against crackers is stopping our white-hats to learn the trade. Maybe the criminals will go away when we don't know how they do it? ;),-1,11.0,21.0
135,0,while that link is related things aren't quite the same in c++. For one thing isn't reference counting a lot more popular?,0,14.0,15.0
136,1,And what is the problem? Other than the missing semicolon after name[25]?,-1,13.0,2.0
137,0,"@Norman: I need to wrap lots of legacy API so that I can call it from lua, so a automaic way is a MUST. Do you have any other recommendation?",0,13.0,17.0
138,0,"As an additional data point, I'd recommend verifying the COM port is actually accessible by a simple terminal application like HyperTerminal. Is it?",0,13.0,15.0
139,0,"@Sandip, what algorithm are you working on? Is it something like memcpy/memmove (or STREAM?).",0,13.0,17.0
140,1,The second example in your second question accesses unallocated memory. Was that on purpose?,-1,13.0,2.0
141,0,Try to phrase the question in language-neutral terms: how would you go about implementing a function that received a X and did Y to it? What is the merit of the FlyWeight pattern and could you sketch an implementation in C?,0,17.0,13.0
142,0,"Yes, it certainly could be. But why thre read() does not realize immediately there's nothong to read, but waits for 1/2 seconds?",0,17.0,9.0
143,0,What is this code supposed to do? How are you approaching the data locality issues (this in my experience is the most important part of optimization)?,0,15.0,9.0
144,0,Do you want to check if it looks ok ? Do you want to check if the file exists ?,1,19.0,16.0
145,0,They are completely different. Have you even glanced at the documentation?,-1,7.0,13.0
146,0,What kind of data are you expecting? Another float or printed output?,0,15.0,18.0
147,0,"To quote Scott Meyers: ""`make`? Who needs stinkin `make`?"".",-1,11.0,5.0
148,0,"@Laurence Gonsalves:  Oh?  What, then, is the ubiquitous _C string_ if it is not a string?",0,13.0,5.0
149,0,"Are you using two sockets with the same port?  If so, what is the reason?",0,14.0,10.0
150,1,"but what happen if a process try to read but another process is still reading before ?
 is the pipe closed for reading when a process read from there ?",0,15.0,5.0
151,0,"qsort does sort lines in increasing order, but your definition of ""increasing"" isn't the same as everybody else's.  Why do you think it's more logical to sort strings by length rather than by alphabetical order?",-1,13.0,7.0
152,0,"What do you mean? How a compiler would implement them, or how to use them?",0,12.0,17.0
153,0,"Depends on your OS. Are you on Linux, Mac, Windows?",1,17.0,13.0
154,0,@dmckee - I wasn't aware that a closed question could be edited. Will an edited closed question generally get reconsideration?,1,15.0,17.0
155,0,"What does ""repair the sequence by replacing the repeated numbers"" mean? Can you provide an example of the finished product (showing intermediate steps)?",1,16.0,20.0
156,0,"Have you tried any other applications that use libsvga? Also, ""EGA driver"" sounds a bit suspicious, have you tried using other modes than 'default'?",0,13.0,17.0
157,0,Doesn't doxygen do exactly this? Or am I mistaken?,0,13.0,19.0
158,0,"So how exactly do you figure out, at runtime, how to call the function that you've stored in this function pointer? In particular, how are you supposed to know how many arguments to pass it?",0,14.0,10.0
159,0,"No, it is for a student project (matrix calculation with multiple processes), but for this step I have to use mmap.
Is there another way to share the variable between all my processes ?",0,15.0,21.0
160,0,"To answer your last question, you want to use `extern ""C""` to prevent the name-mangling. Not sure about the first one yet though; have you verified that you're actually being sent any messages?",1,17.0,14.0
161,0,"One has `const`, and the other does not. Is this intended?",0,13.0,17.0
162,0,"Yes, that is the real source code. And the compilation has been performed without optimization, perhaps that is the reason?",1,17.0,13.0
163,0,"Since you're only trying to detect gnome vs kde, is there a particular set of distros or configurations you're targeting? How general does the solution have to be?",1,17.0,13.0
164,0,"Where is the question? What did you do, and what error did you get?",0,11.0,17.0
165,0,"I don't see how you can deduce the prototype of a C function with `nm`. To have the prototype mangled in, there, you'd have to compile the file as C++ and not as C, no?",0,14.0,8.0
166,0,"What is the socket's protocol type? TCP, UDP, something else?",0,17.0,9.0
167,1,IsPalindrome is a useful function? For whom? ;-),0,13.0,2.0
168,0,"How do you get a runtime error, if you got a compile time error? What did you change to get it to compile?",0,13.0,21.0
169,1,@luser droog: I can surely try! where can I look at that source?,1,20.0,5.0
170,0,What are you writing your complier in? C? You are using LLVM for machine code compilation then?,0,16.0,9.0
171,1,How do you know it's not returning a 64-bit pointer? Have you done `sizeof(void *)` to check?,-1,9.0,19.0
172,0,@Mr.32: That depends. How does that 64-bit platform implement fseek?,0,14.0,13.0
173,0,"Do you wish to optimise the code (make it run faster) or refactor the code (make it easier to read/maintain/modify)? If optimise, what are your timings, and how much do you need to reduce it by?",1,16.0,21.0
174,0,Which operating system? (Sounds like some flavor of Linux?),0,17.0,13.0
175,0,Seems okay to me. What is it supposed to output?,1,17.0,13.0
176,0,"Although I've always used what I guess you could call an ""object based"" style of C programming, it is much, much easier to to this (and just about everything else) in C++.  I have to ask why you don't seem to want to use it?",0,15.0,9.0
177,0,"@Kiril yes you can, using function pointers. But even then, how's that different from passing the struct around to functions?",0,13.0,20.0
178,0,"@Jamie, please explain your intention in a few words. Is it your intention to create a buffer overflow exploit?",0,16.0,10.0
179,0,Why is updating the display immediately an issue? Doesn't that make your application seem slower than it actually is?,0,17.0,8.0
180,0,"Presumably because the compiler decides to pass arguments in registers, or because the stack still contains the required first argument. Does it _not_ work?",0,16.0,13.0
181,0,"What this statement do is giving you ""no hire"" on interview and severe pay cut if found in production code. May be professor will like this answer? :)",-1,13.0,6.0
182,0,"Have you considered using bitwise operators instead of floating-point math routines? You do realize that floating-point is subject to rounding errors, which might explain why you're getting 99 instead of 100?",0,12.0,19.0
183,0,"I'm looking in the `xmmintrin.h`, but it does not contain `__FPU_SETCW` or any mention of `FPU` at all. Are you saying I have to add some lines?",0,13.0,21.0
184,0,"I guess it never makes it to the second 2, nor the next two 1's? After evaluation of the first if statement to true it just prints the largest integer is two and exits?",0,15.0,19.0
185,0,"`char**` isn't a sequence of bytes, it's a pointer to a pointer to a `char`. Did you allocate any memory?",0,13.0,9.0
186,0,What's the declaration for v1 and v2? Are they of the correct type for %f?,0,15.0,21.0
187,0,well... where is the problem? what results *are* you getting?,-1,9.0,3.0
188,0,I'm a bit unsure what you're asking here. Would you like Stack Overflow to do a code review of your code for you?,0,18.0,10.0
189,0,Are you looking for a C program that you can invoke from the command line and that sets the current directory? Or you want to set the current directory within the C program?,1,17.0,21.0
190,0,What have you tried? Where exactly are you stuck?,0,15.0,9.0
191,0,"@Caf, you are right. What was I thinking?",1,16.0,20.0
192,0,"Welcome to Stack Overflow!  Can you be a bit more specific about what you've tried before, what problems you've run into, and what we can help you with?",1,18.0,10.0
193,0,And what about loops? Or do we have to loop with recursion?,0,13.0,17.0
194,0,Where is labelHashTable declared?  Is it a file-scope (global) variable?,0,13.0,21.0
195,0,Does it include any code that is specific to Linux? Or does it use only C standard library and POSIX API?,0,13.0,21.0
196,0,"@NTDLS connect() might be hanging, I'm not sure how to tell. How would I know if it's a firewall issue?",0,13.0,5.0
197,0,"Taken alone, this code won't compile. What are definitions for `dimensions` and its cousin `dimention` (in desperate need of a better variable name)?",0,15.0,9.0
198,0,There are a lot of ways to ensure thread safety without using a threading API. What operating systems and cpu architectures are you planning on supporting?,0,13.0,17.0
199,1,"This doesn't make sense.  Do you mean ""introspection""?",-1,14.0,1.0
200,1,"Annotations aren't executable code, so this is unlikely. What are you really trying to do - in what conditions would you want a test to be run or not run?",0,17.0,5.0
201,0,The answers to the referenced question include two completely different ways of using Robot. Which did you profile?,0,15.0,21.0
202,0,Can you provide more details?  Did your application launch at all before you received this dialog?,1,15.0,21.0
203,0,"yes, just put all these lines inside your function and replace the actual values with the argument names. what's the problem ?",0,11.0,18.0
204,0,"Perhaps also a bit of information about the parameters to `Field()` would help.  Also, are you trying to use a 1D or a 2D array to store the fields?",1,17.0,15.0
205,0,Is there a specific question you have?  Or were you just looking for a code review?,0,13.0,21.0
206,0,"@Ding, List A is in the database, and it can have > 100K rows? What is the typical (and maximum) size of list B?",0,17.0,13.0
207,0,"Why are we reloading the page? Can't one manage all the data to be changed in a stream to the applet directly, or AJAX javascript?",-1,12.0,5.0
208,0,You mean access it programatically?  Can you post some more details about your problem?,0,14.0,9.0
209,0,The answers all assume a different type of output. Can you give an example of how you want the output to look (or does it just need to be readable?),1,17.0,14.0
210,0,"Sorry to up this, I found it via google, but it seems to work when the private static final field is a primitive type. Does anyone have an idea why ?",1,21.0,15.0
211,0,Can you show your appenders? Are you using the `ConsoleAppender`?,0,13.0,21.0
212,0,"my expertise is in Java and web dev, not Perl and especially not build automation.  Should I get someone much more experienced to help me?",0,16.0,7.0
213,0,I added a simple out.println() message to the location where I am calling redirect and that output appears before any other output from the response. So shouldn't I be allowed to redirect at that point?,0,14.0,18.0
214,0,"I did go through that post, but I was looking for option for both Windows and Mac. is it possible to do this via shell extension ?",1,17.0,22.0
215,0,"I just tried this bc I was thinking along the same lines but for some reason when I implement with my data1.csv file it makes no difference, I think it is because of userID numbering and lettering. Is possible for me to send you the data file, so you can see what I mean?",1,18.0,21.0
216,0,How long does your regression test take to complete?  Surely it should be based on this?,-1,12.0,9.0
217,0,You think mapping strings to a variable's symbolic name is a good idea?  Why in the world would you think that?,-1,5.0,13.0
218,0,How exactly should the effect look like? Fading out at the borders or something similar?,1,17.0,11.0
219,0,What operating system? What kind of device connection?,-1,13.0,21.0
220,0,side comment: why don't you use the latest Eclipse? Is there any particular reason?,0,16.0,9.0
221,0,"How exactly does a test fail, i.e. what do you test for?",0,13.0,19.0
222,0,Do you mean that you have a web browser showing Facebook and separate desktop application written in Java? And you wish to access the web page using java app?,0,13.0,11.0
223,0,"You mean battery power? Also, what version of Windows?",0,13.0,17.0
224,0,Are you aware that such an app requires root permissions (because it needs to access the sdcard raw without filesystem)? Therefore it will only work on rooted devices?,0,13.0,17.0
225,0,"Nice.. you have almost give us enough details, last question. What is that `System.out.println(e.getCause().toString());` call printing?",1,16.0,18.0
226,0,It seems that this is not possible.  Are there any Intellij folks on StackOverflow?,0,15.0,19.0
227,0,That's a lot of complicated code for something which could probably be shown a lot more simply. Care to provide a much simpler example... and an actual *question* to go with it?,-1,6.0,12.0
228,0,"So, your IDE is Eclipse. Have you checked that the JAR file is present at the _Project > Properties > Java Build Path > Libraries_ page?",0,13.0,15.0
229,0,"Youssef, have you had a chance to try one of the suggested approaches/tools for text categorization? If so, how did it work out for you?",1,17.0,22.0
230,0,What do you mean by 'documents'? Something that looks like a report or just a spreadsheet full of numbers?,-1,12.0,5.0
231,0,Or am i going against the grain here - should i really be using sessions instead? Are sessions the more 'blessed' way of doing things in struts2?,0,12.0,19.0
232,0,JNDI lookup is the way. Can you confirm in your startup logs that the datasource actually deploys?,0,15.0,21.0
233,0,I am not super familiar with android development. Can't you use java util Preferences http://download.oracle.com/javase/1.4.2/docs/api/java/util/prefs/Preferences.html ?,0,14.0,9.0
234,0,"Which UI framework do you use? Swing, AWT, Struts, JSF, ...?",0,13.0,17.0
235,0,operating system?  How is Bonjour installed?,0,16.0,9.0
236,0,is it converted to hex & then the hex is stored as byte array?? but why??,-1,9.0,12.0
237,0,have you tried this? What output do you get?,0,13.0,20.0
238,0,When were closures for JDK 7 cancelled? You have a link confirm this?,-1,10.0,13.0
239,0,"What do you mean by ""URL"", exactly? This is a rather artificial concept with classpath resources - what would you do with that URL?",-1,10.0,17.0
240,0,"Can you modify the source code of the objects class? IAW, can you make that class observable or do we need a separate Observer for that object?",0,15.0,9.0
241,0,I don't think you can.  What is it you need to do?,0,13.0,21.0
242,0,Since when is `String` a primitive? Since when can you store primitives in a `Collection`?,-1,9.0,1.0
243,0,How about `Class<? super T> type`?,0,15.0,20.0
244,1,Do you have problem with it? Does it work?,-1,13.0,2.0
245,0,"It does have a reference *somewhere*, but I don't know where. Come think of it, isn't this the kind of thing decided by the JVM?",0,13.0,16.0
246,0,this is now the fourth question about the same addcube() function. perhaps there is a larger issue here that just indices?,-1,10.0,19.0
247,1,"Can you provide any additional information on what you want to work? It looks like you have a solution - which one is the one you want to work, and why?",0,15.0,25.0
248,0,"just to verify, can you capture what the generated SQL looks like for a simple get like `Session.get(SecurityContact.class, id)`, hql with `from SecurityContact where securityId = ?` and your left join attempt? Also, what version of Hibernate are you using?",1,17.0,9.0
249,0,I'm afraid it's still unclear what you want to do with roomA and roomB.  Are you trying to list every permuation of the two?,1,17.0,9.0
250,0,"I added two marks (A and B). When you say `GOTO EXECUTE method_two()`, to which mark do you want to go?",0,13.0,19.0
251,0,"what is the expected output? `[12,40,11,8,5,87]` ?",0,13.0,16.0
252,0,"have you checked the add attachment block is getting called, ie. that the file exists?",0,13.0,17.0
253,0,"wow, that's perfect.  any one have any suggested ""appliances"" that they like to use?",1,17.0,21.0
254,0,Are these applications Swing based? What kind of communication is between them?,0,13.0,17.0
255,1,Doesn't work either! If nobody sees a mistake maybe there is a jsf/ajax bug?,0,14.0,1.0
256,0,@ROM1 - Yes I can implement HTTTP. Is there any solution for HTTP?,0,16.0,21.0
257,0,What have you tried? What is going wrong with it?,0,13.0,19.0
258,0,"Are you using annotations or a mapping file? PATH-TO-OPENJPA.jar, which jar are you pointing at?",0,15.0,20.0
259,0,"What does the java process do when you use kill -INT? Does it terminate, or keep running?",0,14.0,17.0
260,0,"can you say some more about why you need to synchronize your collection, i.e. does your Data members depend on each other or do you have some kind of logic which looks at all the members at once and cannot handle add or removes?",0,15.0,13.0
261,0,It's unclear what you're trying to do... why are you concatenating the strings if you don't *want* them concatenated? Could you give more sample inputs/outputs?,-1,9.0,9.0
262,0,What servletcontainer are you using/targeting? What's the reason that you don't use 3rd party libraries for this?,0,13.0,20.0
263,1,"For all downvoters, it may be that english it's not his native language. @varsha: You want to create such an application or you already have one and want to configure it?",1,17.0,5.0
264,0,did you mean when you try to load application context from jar its not working ? if so error message ?,0,13.0,20.0
265,0,What is the input? And what is line 73?,0,13.0,19.0
266,0,"What exactly do you want to warn about, and what exactly do you want the message to be? How is `@Deprecated` itself not meeting your needs?",-1,13.0,9.0
267,0,Why do you have one currency to select? You are converting to the selected currency or from the selected currency?,0,12.0,17.0
268,0,"What method *serialized* a `Boolean` to ""true"" and ""false""? Or are you simply talking about producing a `String` from a `Boolean`?",-1,13.0,9.0
269,0,"I've tried to understand your question, but it is hard. Can you improve the formatting so that we can see what you are asking?",1,16.0,9.0
270,0,Some database action is linked to `stateChanged` so yes. I could use a counter so only the last event calls the mentioned DB method but maybe there's a clearer way?,0,15.0,10.0
271,0,`DateTime` is not a built-in class in Java SE. Where does this type come from?,0,13.0,5.0
272,0,somewhere from the run dialog of JDeveloper. But are you sure you want to use this IDE?,1,17.0,13.0
273,0,What's in your MANIFEST.MF file? Does org.eventService.ProactiveClientEventLogger have a main() method?,0,13.0,21.0
274,0,what does that mean? how can I do that?,0,13.0,16.0
275,0,convert a string to a string? do you mean to an int?,0,16.0,9.0
